region;gender;current_age;mortality_probability;alive_peers;die_this_year;years_to_live;stationary_current_age;stationary
burgenland;m;0;0.00437062937062937000000;100000.00000000000000000000000;437.06293706293700000000000;79.02067111742880000000000;99608.39160839160000000000000;7902067.11174288000000000000000
burgenland;m;1;0.00079012345679012300000;99562.93706293710000000000000;78.66701200034530000000000;78.36710075358960000000000;99523.60355693690000000000000;7802458.72013448000000000000000
burgenland;m;2;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;77.42867402689480000000000;99484.27005093670000000000000;7702935.11657755000000000000000
burgenland;m;3;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;76.42867402689480000000000;99484.27005093670000000000000;7603450.84652661000000000000000
burgenland;m;4;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;75.42867402689480000000000;99484.27005093670000000000000;7503966.57647567000000000000000
burgenland;m;5;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;74.42867402689480000000000;99484.27005093670000000000000;7404482.30642474000000000000000
burgenland;m;6;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;73.42867402689480000000000;99484.27005093670000000000000;7304998.03637380000000000000000
burgenland;m;7;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;72.42867402689480000000000;99484.27005093670000000000000;7205513.76632287000000000000000
burgenland;m;8;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;71.42867402689480000000000;99484.27005093670000000000000;7106029.49627193000000000000000
burgenland;m;9;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;70.42867402689480000000000;99484.27005093670000000000000;7006545.22622099000000000000000
burgenland;m;10;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;69.42867402689480000000000;99484.27005093670000000000000;6907060.95617006000000000000000
burgenland;m;11;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;68.42867402689480000000000;99484.27005093670000000000000;6807576.68611912000000000000000
burgenland;m;12;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;67.42867402689480000000000;99484.27005093670000000000000;6708092.41606818000000000000000
burgenland;m;13;0.00000000000000000000000;99484.27005093670000000000000;0.00000000000000000000000;66.42867402689480000000000;99484.27005093670000000000000;6608608.14601725000000000000000
burgenland;m;14;0.00069270066672439200000;99484.27005093670000000000000;68.91282019287330000000000;65.42867402689480000000000;99449.81364084030000000000000;6509123.87596631000000000000000
burgenland;m;15;0.00000000000000000000000;99415.35723074380000000000000;0.00000000000000000000000;64.47368133927810000000000;99415.35723074380000000000000;6409674.06232547000000000000000
burgenland;m;16;0.00000000000000000000000;99415.35723074380000000000000;0.00000000000000000000000;63.47368133927810000000000;99415.35723074380000000000000;6310258.70509473000000000000000
burgenland;m;17;0.00000000000000000000000;99415.35723074380000000000000;0.00000000000000000000000;62.47368133927810000000000;99415.35723074380000000000000;6210843.34786398000000000000000
burgenland;m;18;0.00000000000000000000000;99415.35723074380000000000000;0.00000000000000000000000;61.47368133927810000000000;99415.35723074380000000000000;6111427.99063324000000000000000
burgenland;m;19;0.00067940552016985100000;99415.35723074380000000000000;67.54334249222510000000000;60.47368133927810000000000;99381.58555949770000000000000;6012012.63340250000000000000000
burgenland;m;20;0.00000000000000000000000;99347.81388825160000000000000;0.00000000000000000000000;59.51445549162910000000000;99347.81388825160000000000000;5912631.04784300000000000000000
burgenland;m;21;0.00000000000000000000000;99347.81388825160000000000000;0.00000000000000000000000;58.51445549162910000000000;99347.81388825160000000000000;5813283.23395475000000000000000
burgenland;m;22;0.00069607587227007700000;99347.81388825160000000000000;69.15361621039010000000000;57.51445549162910000000000;99313.23708014640000000000000;5713935.42006650000000000000000
burgenland;m;23;0.00000000000000000000000;99278.66027204120000000000000;0.00000000000000000000000;56.55416952244600000000000;99278.66027204120000000000000;5614622.18298635000000000000000
burgenland;m;24;0.00066110238823237700000;99278.66027204120000000000000;65.63335940635730000000000;55.55416952244600000000000;99245.84359233810000000000000;5515343.52271431000000000000000
burgenland;m;25;0.00000000000000000000000;99213.02691263490000000000000;0.00000000000000000000000;54.59059004309260000000000;99213.02691263490000000000000;5416097.67912197000000000000000
burgenland;m;26;0.00000000000000000000000;99213.02691263490000000000000;0.00000000000000000000000;53.59059004309260000000000;99213.02691263490000000000000;5316884.65220933000000000000000
burgenland;m;27;0.00063760261417071800000;99213.02691263490000000000000;63.25848531928580000000000;52.59059004309270000000000;99181.39766997520000000000000;5217671.62529670000000000000000
burgenland;m;28;0.00065643718716665300000;99149.76842731560000000000000;65.08559509465210000000000;51.62382432974590000000000;99117.22562976830000000000000;5118490.22762672000000000000000
burgenland;m;29;0.00063867156314865100000;99084.68283222090000000000000;63.28256926854280000000000;50.65740595341270000000000;99053.04154758670000000000000;5019373.00199695000000000000000
burgenland;m;30;0.00254129606099111000000;99021.40026295240000000000000;251.64269444206500000000000;49.68946053462590000000000;98895.57891573140000000000000;4920319.96044937000000000000000
burgenland;m;31;0.00063021900110288300000;98769.75756851030000000000000;62.24657795400050000000000;48.81478400095620000000000;98738.63427953330000000000000;4821424.38153364000000000000000
burgenland;m;32;0.00118747216862105000000;98707.51099055630000000000000;117.21242213514200000000000;47.84525209744110000000000;98648.90477948870000000000000;4722685.74725410000000000000000
burgenland;m;33;0.00000000000000000000000;98590.29856842120000000000000;0.00000000000000000000000;46.90154010706800000000000;98590.29856842120000000000000;4624036.84247462000000000000000
